Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
50,2.0,0.0,1135.0,10.0,58.0,5207.0,0.0,24.11300001000004,24.11300001000004,0.0,616.8059301376343,,,,,,,,,,,,,,,,5.780754542366122,7.254454131845982,23.801517764307068,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,1280.0,11.0,145.0,5352.0,0.0,54.720000010000035,54.720000010000035,0.0,626.9990484714508,,,,,,,,,,,,,,,,19.479910415603587,13.158143737044941,51.947360360097605,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,1355.0,12.0,75.0,5427.0,0.0,40.01300000999999,40.01300000999999,0.0,632.7967178821564,,,,,,,,,,,,,,,,11.436676035122069,12.587708078613767,39.19444375111695,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,1520.0,13.0,165.0,5592.0,0.0,127.61200000999996,127.61200000999996,0.0,644.342244386673,,,,,,,,,,,,,,,,48.114581833279686,39.3443006577661,119.79288689440331,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,1604.0,14.0,84.0,5676.0,0.0,52.81400000999999,52.81400000999999,0.0,650.4516899585724,,,,,,,,,,,,,,,,16.898199126444432,17.115157031791004,51.44599728065934,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,1652.0,15.0,48.0,5724.0,0.0,13.413000009999989,13.413000009999989,0.0,654.1425001621246,,,,,,,,,,,,,,,,3.079968383162624,3.8326699904389065,13.278439967575771,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,1861.0,16.0,209.0,5933.0,0.0,80.71600000999996,80.71600000999996,0.0,668.6411399841309,,,,,,,,,,,,,,,,30.376612334040324,22.201794305467118,74.4417297619476,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,2012.0,17.0,151.0,6084.0,0.0,89.51800000999997,89.51800000999997,0.0,679.2359781265259,,,,,,,,,,,,,,,,28.28216847759885,27.01730646336236,85.33272529517774,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,2114.0,18.0,102.0,6186.0,0.0,64.81400001000003,64.81400001000003,0.0,686.5308229923248,,,,,,,,,,,,,,,,20.8732006776146,20.793008989492446,62.747681222105406,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,2152.0,19.0,38.0,6224.0,0.0,12.710000009999991,12.710000009999991,0.0,689.6629548072815,,,,,,,,,,,,,,,,2.7244505319568604,3.6791227924518393,12.619089979765407,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
